neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Murueta,,,999.0,
Laguardia,1432.61,,133.25,
Zarautz,165.57,,1539.44,42.5
Karrantza Harana,227.4,1069.17,113.37,
Bidegoian,,,451.5,
Zeberio,469.0,,272.0,
Aretxabaleta,624.0,,108.83,
Atxondo,354.0,,,
MeÃ±aka,350.0,,,
Beizama,320.0,,,
Aizarnazabal,348.33,,280.0,
Trucios-Turtzioz,314.14,,,
Asparrena,500.0,,117.0,
Orozko,303.0,,,
Leza,283.0,,,
LagrÃ¡n,282.25,,,
Sondika,438.0,,123.92,
Arratzu,278.8,,,
Navaridas,273.0,,,
Dima,433.11,,104.0,
Zigoitia,264.2,,,
Zamudio,485.5,,35.0,
Mallabia,257.5,,,
Muskiz,245.0,,,
Errezil,241.67,,,
Lanciego,240.2,,,
Ataun,440.0,,40.0,
Arantzazu,233.5,,,
Lizartza,232.5,,,
Artzentales,407.0,,45.0,
Berriz,360.0,,89.0,
Eskuernaga,225.0,,215.17,
Donostia-San SebastiÃ¡n,402.92,145.38,102.76,188.0
Gautegiz Arteaga,250.89,,163.4,
Bernedo,204.2,,,
Busturia,176.59,,224.0,
Berango,199.09,,,
Larraul,195.0,,,
Sopuerta,342.55,,44.33,
Iurreta,291.0,,94.2,
Gatika,299.17,,80.33,
ValdegovÃ­a,185.38,,,
Larrabetzu,185.0,,,
Usurbil,287.67,,80.0,
Ibarrangelu,257.27,,109.71,
Samaniego,281.25,,82.71,
Zeanuri,290.0,,68.0,
Urduliz,310.5,,45.0,
Amurrio,177.18,,,
Hernani,284.46,,69.25,
Vitoria-Gasteiz,141.61,,51.66,333.0
Olaberria,175.0,,,
Maruri-Jatabe,174.33,,,
Zegama,165.0,,180.0,
Arrieta,172.0,,,
Ikaztegieta,168.0,,,
Morga,164.0,,,
AÃ±ana,163.83,,,
Kanpezu,268.0,,55.0,
Gamiz-Fika,231.33,,89.0,
Beasain,160.0,,,
Urnieta,240.5,,76.96,
Sopelana,374.37,,71.8,29.0
Arrazua-Ubarrundia,155.0,,,
Durango,216.67,,90.0,
Laukiz,241.25,,61.0,
Lanestosa,147.5,,,
Derio,211.0,,83.57,
Azpeitia,191.43,,101.31,
Ayala,211.8,,77.5,
San MillÃ¡n,204.2,,84.67,
Berastegi,240.8,,48.0,
LantarÃ³n,233.67,,53.33,
Getaria,184.54,124.0,121.71,
Aia,172.0,,185.33,70.0
Mungai,200.65,,83.67,
Kuartango,241.0,,42.0,
Urkabustaiz,238.2,,44.5,
Aduna,140.0,,,
Barrika,194.0,,82.33,
Ea,190.29,,82.86,
Asteasu,230.75,,42.0,
Astigarraga,174.0,,94.9,
Zizurkil,233.0,,35.0,
Otxandio,132.0,,,
Aulesti,130.67,,,
Arrankudiaga,208.0,,53.0,
Amoroto,167.5,,93.0,
Erandio,209.43,,50.83,
Zambrana,130.0,,,
Muxika,129.67,,,
Lezo,180.62,,73.0,
Deba,151.76,,101.56,
Markina-Xemein,176.9,,76.0,
Salvatierra,192.5,,60.0,
Pasaia,153.21,,97.0,
AlegrÃ­a-Dulantzi,200.0,,50.0,
Arrigorriaga,123.0,,,
Galdames,123.0,,,
Mutriku,165.04,,79.25,
Sukarrieta,121.44,,,
Labastida,184.99,,86.56,90.0
Alkiza,120.0,,,
Eibar,165.5,,72.86,
MaÃ±aria,185.0,,53.33,
Gizaburuaga,119.0,,,
Legutiano,149.67,,85.0,
Bergara,117.0,,,
UrduÃ±a-OrduÃ±a,115.55,,,
Bermeo,101.14,66.0,175.92,
Hondarribia,152.03,,76.03,
Balmaseda,113.33,,,
Mendexa,142.6,,81.75,
Etxebarria,111.67,,,
ParzonerÃ­a de GuipÃºzcoa y Ãlava,111.0,,,
AbadiÃ±o,158.0,,63.0,
Lemoiz,84.71,,135.0,
Segura,184.0,74.33,70.0,
Orio,188.51,82.0,57.5,
Loiu,172.0,,44.25,
GÃºeÃ±es,108.0,,,
Andoain,182.33,,33.5,
Arraia-Maeztu,190.0,,25.0,
Ispaster,107.0,,,
Ribera Alta,159.0,,55.0,
Getxo,138.09,,74.04,
Elorrio,105.43,,,
Lasarte-Oria,127.7,,82.72,
Areatza,105.0,,,
Abaltzisketa,105.0,,,
Zuia,149.0,,60.0,
Plentzia,153.28,,55.25,
Mundaka,120.88,,87.6,
Elantxobe,102.9,,,
OÃ±ati,169.29,,35.0,
Iruraiz-Gauna,150.0,,54.0,
Zumaia,146.86,,56.6,
Eskoriatza,,139.17,62.0,
IruÃ±a Oka,,,100.0,
Zierbena,108.0,,91.33,
Elciego,98.4,,100.0,
BaÃ±os de Ebro,98.0,,,
Legazpi,97.5,,,
Amezketa,149.5,,42.5,
Galdakao,102.0,,88.3,
Altzo,95.0,,,
Ondarroa,94.0,,,
Zestoa,132.83,,55.0,
Ribera Baja,140.0,,45.33,
Azkoitia,152.4,60.0,132.67,25.0
Bilbao,142.63,134.14,72.9,19.96
Abanto y CiÃ©rvana-Abanto Zierbena,79.75,,105.0,
Oiartzun,192.0,103.67,46.08,22.0
Lezama,113.0,,68.0,
Elgeta,120.0,,60.0,
Gordexola,90.0,,,
Mutiloa,,,90.0,
Irun,112.55,,67.31,
Villabona,145.0,,34.0,
Lekeitio,96.53,,81.0,
Arrasate,141.0,,36.0,
EreÃ±o,88.5,,,
Tolosa,129.17,,47.0,
Orexa,88.0,,,
Santurtzi,122.09,,53.5,
Barakaldo,100.76,,74.25,
Gernika-Lumo,124.0,,50.0,
Leioa,118.2,,49.75,
Gorliz,118.92,,44.8,
Berrobi,90.0,,70.0,
Lemoa,80.0,,,
Mendaro,79.0,,,
Elgoibar,86.67,,123.33,25.0
Kortezubi,65.0,,90.0,
Berriatua,78.4,,75.0,
Ugao-Miraballes,76.5,,,
Moreda de Ãlava,116.75,,35.0,
Lapuebla de Labarca,151.73,34.0,40.5,
Portugalete,96.35,,54.33,
Bakio,112.19,,83.46,30.0
Alonsotegi,,,75.0,
OyÃ³n,118.91,,30.83,
Artea,74.0,,,
YÃ©cora,89.5,,57.0,
Hernialde,72.0,,,
Barrundia,84.0,,57.67,
Ajangiz,,,68.0,
Zalla,,,66.5,
Ormaiztegi,,,81.43,47.0
Errenteria,90.08,,36.6,
Elburgo,,,62.29,
Igorre,61.0,,,
Ortuella,60.67,,,
ArmiÃ±Ã³n,,,60.0,
Harana,,,60.0,
Zaldibia,,,97.5,22.0
Basauri,84.0,,35.0,
Aramaio,,,59.0,
Valle de TrÃ¡paga-Trapagaran,81.6,,49.33,40.0
Amorebieta-Etxano,65.0,,47.0,
Sestao,98.12,,34.5,35.0
Artziniega,,,55.0,
Anoeta,55.0,,,
Ermua,67.67,,38.0,
Llodio,52.5,,,
Baliarrain,,,51.0,
Soraluze,50.0,,,
Mendata,77.5,,,18.0
Zumarraga,67.5,,23.0,
"Etxebarri, Anteiglesia de San Esteban-Etxebarri Doneztebeko Elizatea",,,29.0,
