neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Bolvir,767.58,,,
Bordils,760.62,,,
Torroella de Fluvià,1312.07,,124.17,
Beuda,714.23,,,
Saus,1287.72,,80.0,
Sant Feliu de Pallerols,264.78,,999.0,
Cervià de Ter,594.5,,,
Brunyola,548.0,,,
Vidrà,519.0,,,
Camós,469.75,,,
Pontós,465.14,,,
Serra de Daró,449.75,,,
Sant Gregori,445.65,,,
Sant Andreu Salou,429.0,,,
Vilafant,403.4,,,
Agullana,401.3,,,
Cistella,394.5,,,
Riells i Viabrea,392.43,,,
Aiguaviva,381.67,,,
Fontcoberta,382.64,,355.0,
Santa Cristina d'Aro,367.84,,357.74,
Mont-ras,576.05,,147.71,
Quart,357.0,,,
Viladrau,348.17,,,
Sant Mori,345.56,,,
Foixà,342.8,,,
Meranges,337.5,,,
Sant Jaume de Llierca,333.0,,,
Vilamalla,325.0,,,
Boadella d'Empordà,318.0,,,
Forallac,466.64,,155.0,
Regencós,310.2,,,
Fornells de la Selva,304.2,,,
Les Preses,301.67,,,
Vilobí d'Onyar,297.89,,,
Siurana,292.67,,,
Isòvol,188.5,,390.0,
Vilademuls,443.44,,130.0,
Pont de Molins,286.14,,,
Sant Miquel de Campmajor,285.33,,,
Sant Julià de Ramis,437.25,,129.22,
Cabanelles,488.12,,78.0,
L'Armentera,456.31,,106.0,
Cornellà del Terri,381.71,,165.83,
Esponellà,273.25,,,
Torrent,267.5,,,
Riudellots de la Selva,631.67,90.5,78.0,
Riudarenes,263.58,,,
Vilabertran,435.0,,90.0,
Bescanó,465.0,,60.0,
"Cruïlles, Monells i Sant Sadurní de l'Heura",345.28,,165.0,
Bàscara,392.38,,112.5,
Sant Ferriol,259.05,,241.5,
Vall-llobrega,460.88,0.0,288.0,
Madremanya,336.4,,162.5,
Llambilles,434.5,,58.33,
Vilaür,240.08,,,
Breda,226.89,,250.0,
Campelles,272.12,,204.0,
Amer,405.22,,70.0,
Palau-sator,233.71,,,
Vidreres,253.98,,60.5,386.0
Vilanant,285.12,,180.0,
Mollet de Peralada,230.0,,,
Sant Pere Pescador,332.72,,124.5,
Viladasens,228.0,,,
Sant Martí Vell,266.83,,175.0,
Vila-sacra,219.0,,,
Ordis,217.8,,,
La Tallada d'Empordà,344.84,,89.0,
Sant Hilari Sacalm,332.81,,100.82,
Llagostera,283.45,,140.0,
Porqueres,344.5,,77.6,
Santa Coloma de Farners,352.31,,65.17,
Sant Joan de les Abadesses,152.42,,264.2,
Serinyà,365.5,,46.5,
Palau de Santa Eulàlia,,,205.0,
Alp,203.5,,,
La Vall de Bianya,232.2,,173.0,
Cantallops,201.08,,,
Sant Aniol de Finestres,168.22,,233.0,
Fontanilles,284.0,,113.5,
Fontanals de Cerdanya,198.17,,,
Vallfogona de Ripollès,198.0,,,
Caldes de Malavella,303.05,,89.0,
Sant Feliu de Buixalleu,346.89,,45.0,
Canet d'Adri,259.0,,131.33,
Corçà,234.19,,155.5,
Sant Llorenç de la Muga,194.33,,,
La Pera,211.44,,177.18,
Sils,320.69,,66.25,
Rupià,193.0,,,
Avinyonet de Puigventós,145.5,,239.4,
Das,319.35,,65.0,
Colomers,192.0,,,
Riumors,231.67,,150.0,
Darnius,294.0,,87.56,
Calonge,286.01,,94.3,
Sales de Llierca,290.06,,89.33,
Sant Joan les Fonts,187.91,,,
Urús,187.14,,,
Jafre,186.5,,,
Espinelves,186.0,,,
Santa Llogaia d'Àlguema,186.0,,,
Juià,185.0,,,
Begur,261.75,120.67,168.29,
Riudaura,183.0,,,
Molló,208.29,,155.0,
Toses,181.6,,,
Cassà de la Selva,316.94,,44.5,
Camprodon,158.67,,201.48,
Sant Miquel de Fluvià,179.67,,,
Sant Jordi Desvalls,178.0,,,
Vilopriu,241.09,,111.9,
Garrigàs,259.5,,93.0,
Viladamat,175.27,,,
Borrassà,293.6,,54.0,
Sant Martí de Llémena,172.08,,,
Ger,171.58,,,
Garriguella,265.56,,74.83,
La Vall d'en Bas,264.52,,72.75,
Parlavà,291.0,,43.5,
Maçanet de la Selva,239.89,,94.6,
Gombrèn,245.2,,84.33,
Garrigoles,211.57,,116.67,
Massanes,293.75,,34.0,
Pardines,163.6,,,
Ventalló,245.04,,79.11,
Les Planes d'Hostoles,195.14,,126.71,
Osor,220.54,,99.0,
Susqueda,176.89,,141.0,
Peralada,257.42,,59.0,
Mieres,252.5,,63.33,
Ripoll,184.0,,129.62,
Palau-saverdera,213.06,,96.0,
Capmany,195.27,110.33,,
Gualta,256.75,,48.0,
Albanyà,151.5,,,
Navata,245.61,,57.25,
Pals,191.72,93.0,166.7,
Vilamacolum,148.5,,,
Lladó,148.1,,,
Vilallonga de Ter,147.74,,,
Cadaqués,241.94,116.0,81.55,
Palol de Revardit,122.5,,168.5,
Les Llosses,197.12,,93.82,
Espolla,145.14,,,
Montagut i Oix,203.7,,83.33,
El Port de la Selva,164.47,,121.77,
La Cellera de Ter,185.2,,100.17,
Crespià,229.5,,54.0,
Torroella de Montgrí,131.64,,150.44,
Palafrugell,245.89,77.5,99.7,
Ullà,151.17,,130.0,
Tossa de Mar,142.42,169.12,106.67,
Sant Julià del Llor i Bonmatí,139.25,,,
Arbúcies,191.54,,86.25,
Celrà,226.17,,50.0,
Rabós,181.75,,93.33,
Verges,136.5,,,
Ribes de Freser,126.6,,145.0,
Santa Pau,190.1,,79.83,
Castell-Platja d'Aro,176.28,,93.59,
Llanars,109.0,,156.67,
Colera,132.18,,,
Argelaguer,211.2,,50.0,
Pau,181.1,,78.75,
Ullastret,208.33,,51.0,
Campdevànol,127.3,,,
Ogassa,220.8,,80.0,80.0
Sant Pau de Segúries,202.89,,46.5,
Sant Feliu de Guíxols,168.77,,67.35,
Puigcerdà,144.98,120.89,88.29,
Planoles,166.88,,67.75,
Roses,145.71,,87.92,
Vilajuïga,200.5,,32.0,
Terrades,149.38,,80.38,
Bellcaire d'Empordà,167.5,,60.0,
Palamós,140.63,,84.2,
Hostalric,112.0,,,
La Bisbal d'Emporda,171.37,95.0,67.38,
Pedret i Marzà,110.0,,,
Lloret de Mar,185.46,,102.27,42.22
Olot,135.74,,83.57,
Sant Climent Sescebes,162.67,,55.8,
Llívia,144.34,,71.5,
Anglès,116.71,,97.45,
Banyoles,146.62,,64.09,
Queralbs,163.67,,44.5,
Albons,147.74,,55.0,
Llers,128.6,,71.5,
Cabanes,110.5,,85.0,
Guils de Cerdanya,131.23,,63.0,
Setcases,157.86,,36.0,
Castelló d'Empúries,117.84,83.0,127.93,50.0
Blanes,178.08,,71.36,34.2
Tortellà,150.0,,37.0,
Maçanet de Cabrenys,138.85,,48.0,
Vilamaniscle,93.29,,,
Ultramort,132.77,,53.0,
Maià de Montcal,132.79,,44.0,
Sarrià de Ter,107.0,,69.0,
Girona,127.1,57.0,78.29,
La Selva de Mar,83.33,,90.0,
Flaçà,103.0,,58.0,
L'Escala,128.54,,74.79,35.22
Llançà,91.92,,66.75,
Fortià,78.5,,78.12,
Masarac,57.5,,98.0,
Portbou,85.7,,68.67,
Besalú,110.34,,44.0,
Figueres,113.2,,40.33,
La Jonquera,69.5,,,
Castellfollit de la Roca,92.33,,39.0,
Salt,86.5,,40.12,
