neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
San Pascual,188.29,29.0,84.88,3000.0
Rosas,638.67,,361.86,890.0
El Pardo,294.94,,75.12,900.0
Amposta,528.0,,214.6,
Canillejas,848.45,,238.98,25.0
Lucero,750.36,,35.58,312.0
Arcos,209.25,,449.36,
Alameda de Osuna,453.0,,181.74,
Argüelles,206.38,254.0,398.72,400.0
Simancas,268.42,,238.94,424.67
Rios Rosas,164.09,90.0,71.92,771.0
Hellín,439.78,,220.1,45.0
Casco Histórico de Vicálvaro,239.52,,190.62,
Salvador,262.0,,159.25,
Rejas,163.9,,226.97,
Recoletos,240.88,245.71,94.98,
Delicias,124.1,,69.73,370.0
San Juan Bautista,142.53,,113.15,295.0
Palos de Moguer,124.35,,351.47,63.33
Almagro,246.7,,80.31,200.0
El Goloso,107.65,,241.14,
Fuente del Berro,270.2,,60.81,
Peñagrande,218.68,,111.34,
Niño Jesús,276.03,,52.0,
El Viso,174.09,,142.12,
Marroquina,135.8,,179.63,
Prosperidad,123.27,176.0,80.43,232.5
Corralejos,200.0,,101.0,
Ibiza,246.62,,49.23,
Ciudad Jardín,188.53,138.0,115.68,
Embajadores,130.35,215.72,78.78,159.52
Palomas,135.0,,155.82,
Aguilas,63.86,,325.8,43.0
Castellana,217.87,,84.95,126.0
Numancia,126.68,350.0,47.01,38.0
Imperial,231.85,,45.24,
Aravaca,189.38,,82.76,
Ventas,103.46,,104.32,200.0
Palacio,152.92,237.81,107.57,44.36
Hispanoamérica,137.14,,132.71,
Mirasierra,218.54,,47.83,
Valdefuentes,239.87,,121.73,31.0
Sol,179.42,227.18,93.54,22.0
San Isidro,89.4,,46.91,250.0
Costillares,175.19,,77.67,
Castillejos,132.23,,66.87,180.0
Lista,169.72,,133.0,70.0
Pilar,93.87,,154.17,
Aeropuerto,138.67,,104.87,
Concepción,115.72,,67.7,180.0
Goya,206.2,179.0,54.39,36.5
Fontarrón,205.91,,31.8,
Piovera,232.76,28.0,92.79,
Cortes,159.11,155.64,126.93,28.0
Puerta Bonita,187.32,,45.29,
Quintana,120.48,,79.33,146.33
Vallehermoso,139.43,,156.35,50.0
La Paz,146.0,,82.96,
Ciudad Universitaria,152.14,,148.8,25.0
Almenara,151.52,,65.21,
Apostol Santiago,90.25,,125.33,
Cármenes,127.94,,81.22,
Universidad,151.3,144.88,72.0,48.46
Puerta del Angel,90.88,,110.24,
El Plantío,117.0,,82.8,
Colina,158.85,,40.62,
Trafalgar,183.47,,88.93,22.33
San Cristobal,169.12,,27.35,
Pueblo Nuevo,153.47,,83.0,53.5
Estrella,121.92,,65.0,
Cuatro Caminos,158.09,,99.08,21.82
Guindalera,141.62,89.0,121.94,19.0
Casa de Campo,130.59,,52.27,
Justicia,160.28,82.0,90.91,32.15
Chopera,117.45,,64.83,
Castilla,105.24,,76.41,
Valverde,121.69,,59.56,
Acacias,162.55,,51.15,55.5
Valdemarín,133.33,,45.5,
Jerónimos,200.36,0.0,63.43,
Gaztambide,131.11,,77.84,53.5
Atocha,116.93,,58.0,
Campamento,80.45,,94.03,
San Andrés,87.82,200.0,40.82,16.33
Bellas Vistas,114.94,,69.33,69.0
Palomeras Sureste,138.62,,28.64,
Valdeacederas,134.35,,92.4,24.0
Buenavista,98.78,,85.52,66.0
Santa Eugenia,85.2,,61.33,100.0
Los Angeles,108.25,,81.04,54.7
Casco Histórico de Vallecas,109.0,,51.63,
Opañel,119.51,,37.58,
Palomeras Bajas,144.27,,55.97,35.0
Arapiles,160.79,,57.3,15.0
Comillas,165.7,,41.2,20.0
Almendrales,83.64,,67.4,
Casco Histórico de Barajas,123.89,,57.2,45.0
Timón,103.61,,71.6,50.0
Pacífico,114.65,,54.08,55.0
Cuatro Vientos,102.25,,46.53,
Canillas,116.72,30.0,73.67,
Pradolongo,115.27,,87.27,16.0
Abrantes,160.82,,41.27,14.0
Butarque,116.75,,26.93,
Moscardó,106.04,,37.45,
Orcasitas,120.0,,61.12,30.0
Media Legua,183.0,0.0,44.29,50.0
Pinar del Rey,118.93,,61.65,26.0
Nueva España,107.91,,48.05,50.0
San Fermín,95.07,,36.76,
Valdezarza,96.06,,73.23,23.0
San Diego,125.86,,38.35,26.75
Berruguete,104.09,,71.72,15.0
Vista Alegre,87.1,,37.96,
Legazpi,89.6,38.0,56.95,
Adelfas,85.14,,37.47,
Zofío,71.11,,50.71,
Vinateros,65.0,,47.45,
Ambroz,67.0,,43.07,
Portazgo,73.88,,58.71,28.0
Entrevías,67.5,,75.95,13.5
Orcasur,79.94,,47.19,25.0
Los Rosales,70.78,,64.85,14.0
Aluche,68.71,,33.93,35.0
Pavones,60.0,,29.4,
Horcajo,,,37.0,
Fuentelareina,,,30.0,
Atalaya,,,25.0,
