neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Llucmajor,332.92,285.42,100.77,15025.0
Sencelles,351.68,745.5,1411.87,
Capdepera,463.14,804.58,118.57,
Estellencs,452.8,,,
Campos,435.44,767.71,133.36,
Andratx,685.6,,71.35,
Deyá,607.39,,135.5,
Lloseta,577.44,,148.8,
Marratxí,583.06,,95.4,
Escorca,365.5,207.0,,
Alaró,463.45,,102.21,
Esporles,497.15,189.0,148.29,
Santa María del Camí,380.09,257.0,153.8,
Son Servera,307.94,235.0,226.33,
Artà,339.75,,169.81,
Sóller,288.52,340.0,131.2,
Vilafranc de Bonany,252.57,,,
Valldemossa,440.68,,64.33,
Fornalutx,282.01,,222.88,
Porreres,344.38,,155.9,
Bunyola,337.29,,156.67,
Petra,355.5,,135.54,
Banyalbufar,356.46,,107.56,
Sineu,255.38,322.22,113.57,
Calvià,397.33,195.1,287.22,20.0
Selva,306.78,226.79,133.15,
Alcúdia,298.38,,133.37,
Llubí,332.89,,97.25,
Maria de la Salut,211.64,110.0,317.75,
Binissalem,301.53,,122.8,
Pollença,332.91,165.0,130.56,
Felanitx,327.27,144.82,153.42,
Consell,371.48,,45.0,
Sa Pobla,287.9,,125.89,
Ariany,302.46,,104.0,
Santanyí,403.28,97.83,103.56,
Lloret de Vistalegre,263.94,,136.0,
Sant Llorenç des Cardassar,314.46,172.5,104.17,
Búger,339.46,,54.62,
Muro,292.05,,100.8,
Inca,280.54,,107.3,
Montuïri,277.8,,100.3,
Puigpunyent,398.94,,141.6,20.0
Campanet,251.31,,120.54,
Algaida,297.18,,69.21,
Manacor,314.27,147.83,77.65,
Ses Salines,239.98,,118.56,
Palma de Mallorca,266.29,213.11,146.98,49.53
Mancor de la Vall,204.24,,131.75,
Santa Margalida,214.4,,95.15,
Costitx,210.96,,94.0,
Sant Joan,224.85,,60.0,
Santa Eugènia,203.55,,63.33,
