neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Santa Catalina,117.72,1875.0,85.38,31.0
Bellavista,162.71,,647.07,
La Barzola,728.0,,31.5,
Polígono Sur,283.0,,323.2,
Feria,168.94,100.0,621.47,
"Encarnación, Regina",140.34,635.11,104.76,
Triana Este,120.26,553.25,42.75,
"El Juncal, Híspalis",206.5,,,
Zodiaco,387.0,,15.0,
El Porvenir,344.62,,55.76,
Isla de Garza,200.0,,,
Santa Clara,89.6,,52.2,400.0
San Lorenzo,126.02,69.0,316.39,
"Prado, Parque María Luisa",166.6,,,
"Tiro de Línea, Santa Genoveva",199.25,,132.12,
Alfalfa,176.18,200.5,158.23,120.0
Arenal,179.7,290.5,145.84,38.86
San Bartolomé,171.42,215.5,106.35,149.0
Santa Cruz,194.3,256.25,148.96,39.5
Museo,142.74,141.4,76.76,260.0
Parque Alcosa,140.0,,155.0,
Heliópolis,225.62,,46.5,
San Bernardo,204.0,,59.18,
Pino Flores,119.0,,,
La Florida,122.0,,115.96,
Triana Casco Antiguo,123.38,113.0,80.43,
Valdezorras,168.33,,42.0,
"Felipe II, Los Diez Mandamientos",176.0,,33.0,
Rochelambert,136.67,,70.0,
Las Avenidas,73.2,,126.0,
La Calzada,166.5,,31.22,
"Colores, Entreparques",142.08,,55.58,
Triana Oeste,151.43,,45.0,
"El Cano, Los Bermejales",183.0,,80.0,20.0
Palmete,153.0,,33.0,
"Doctor Barraquer, G. Renfe, Policlínico",108.51,,72.92,
Las Huertas,113.0,,64.25,
La Bachillera,133.26,,41.67,
San Vicente,115.31,60.0,154.35,19.0
Los Remedios,126.94,,45.29,
an Roque,128.6,,41.71,
La Buhaira,110.8,,58.44,
San Julián,106.75,,62.35,
Huerta de la Salud,122.67,,45.71,
"Tabladilla, La Estrella",84.0,,,
San Gil,101.53,102.0,46.79,
"Cisneo Alto, Santa María de Graccia",121.0,,44.67,
El Plantinar,84.86,,75.5,
El Rocío,80.0,,,
San Pablo D y E,131.0,,27.14,
"Macarena 3 Huertas, Macarena 5",79.0,,,
"Sector Sur, La Palmera, Reina Mercedes",133.79,,24.08,
Nervión,106.14,,49.52,
Huerta de Santa Teresa,106.23,,48.5,
Arbol Gordo,114.67,,40.0,
Tablada,115.0,75.0,40.17,
Bami,107.0,,42.67,
Huerta del Pilar,102.0,,47.0,
"El Torrejón, El Cerezo",70.0,,77.0,
no asignado,97.33,,49.5,
Giralda Sur,107.5,,36.67,
"La Palmilla, Doctor Marañón",71.67,,,
"León XIII, Los Naranjos",96.89,,46.33,
Ciudad Jardín,121.0,,21.0,
"Pedro Salvador, Las Palmeritas",96.67,,42.4,
San José Obrero,93.68,,44.75,
Barrio León,109.42,,24.0,
"Santa María de Ordas, San Nicolas",85.5,,46.33,
"El Tardón, El Carmen",101.19,,29.14,
"Santa Aurelia, Cantábrico, Atlántico, La Romería",63.5,,,
"Cruz Roja, Capuchinos",89.92,,35.83,
Aeropuerto Viejo,62.5,,,
El Cerro,82.2,,40.71,
"Las Naciones, Parque Atlántico, Las Dalias",77.0,,42.0,
"Begoña, Santa Catalina",79.33,,33.33,
El Carmen,79.88,,31.0,
Los arcos,76.0,,33.0,
"Palacio Congresos, Urbadiez, Entrepuentes, Jardines del Eden",64.25,,43.33,
San Diego,,,53.0,
Bda. Pino Montano,83.25,,19.83,
San Pablo A y B,56.0,,44.67,
Campos de Soria,78.0,,22.0,
Pio XII,71.5,,27.0,
"Carretera de Carmona, María Auxiliadora, Fontanal",72.81,,24.33,
Avda. de la Paz,,,48.33,
"San Carlos, Tartessos",,,48.0,
Los Pajaros,95.5,,37.0,10.0
Juan XXIII,67.5,,26.25,
Consolación,64.0,,29.75,
"La Paz, Las Golondrinas",57.0,,32.43,
Villegas,62.33,,26.67,
"Hermandades, La Carrasca",60.0,,28.62,
Las Almenas,,,44.0,
Polígono Norte,54.0,,30.0,
Retiro Obrero,58.2,,24.0,
San Jerónimo,53.57,,28.0,
La Oliva,55.0,,25.33,
Bda. de Pineda,,,35.0,
La Corza,,,30.0,
Amate,,,29.5,
San Pablo C,,,27.5,
El Gordillo,,,24.0,
"Los Príncipes, La Fontanilla",,,21.0,
Las Letanías,,,19.5,
Los Carteros,,,15.0,
