neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
LA FONTETA S.LLUIS,0.99,,0.99,
EL PLA DEL REMEI,0.97,,1.0,
CAMI REAL,0.98,,0.98,
EL PALMAR,0.98,,,
BENIFARAIG,1.0,,0.91,
CARPESA,0.9,,1.0,
SANT ISIDRE,,,0.95,
BENIFERRI,0.98,,0.92,
EN CORTS,0.94,0.98,0.89,
PINEDO,0.88,,0.99,
LA CREU COBERTA,0.88,,0.99,
FAVARA,0.86,,0.93,1.0
TORREFIEL,0.93,,0.93,
LA TORRE,0.96,,0.9,
LA XEREA,0.89,,0.97,
CABANYAL-CANYAMELAR,0.9,,0.88,1.0
SANT FRANCESC,0.93,,0.91,
LA FONTSANTA,0.86,,0.98,
TORMOS,0.9,,0.86,0.99
SANT MARCEL.LI,0.95,,0.88,
LES TENDETES,0.91,,0.86,0.97
POBLE NOU,0.91,,0.91,
ALBORS,0.9,,0.83,1.0
MALILLA,0.91,,0.82,1.0
RUSSAFA,0.91,0.9,0.83,1.0
MESTALLA,0.95,,0.86,
CAMPANAR,0.99,,0.82,
MORVEDRE,0.91,,0.9,
LA LLUM,0.93,,0.8,0.98
LA CREU DEL GRAU,0.87,,0.93,
MONT-OLIVET,0.91,,0.89,
LA ROQUETA,0.9,,0.9,
LA PUNTA,0.86,,0.94,
SANT LLORENS,0.9,,0.89,
EXPOSICIO,0.95,,0.84,
L'AMISTAT,0.73,,0.94,1.0
LA RAIOSA,0.91,,0.81,0.95
ELS ORRIOLS,0.93,,0.85,
CASTELLAR-L'OLIVERAL,,,0.89,
SOTERNES,0.77,,0.97,0.93
TRES FORQUES,0.86,,0.92,
EL PERELLONET,0.83,,0.95,
EL BOTANIC,0.94,,0.84,
CIUTAT DE LES ARTS I DE LES CIENCIES,0.84,,0.94,
MAHUELLA-TAULADELLA,0.77,,1.0,
LA SEU,0.94,,0.83,
SANT PAU,0.87,,0.9,
BENICALAP,0.95,,0.82,
PATRAIX,0.86,,0.9,
AIORA,0.88,,0.88,
FAITANAR,0.9,,0.86,
EL FORN D'ALCEDO,0.94,,0.82,
CIUTAT JARDI,0.83,,0.82,0.99
LA GRAN VIA,0.87,,0.88,
L'HORT DE SENABRE,0.92,,0.83,
NA ROVELLA,0.84,,0.91,
EL CALVARI,0.97,,0.77,
LA MALVA-ROSA,0.86,,0.88,
LA PETXINA,0.89,,0.85,
EL GRAU,0.86,,0.87,
NATZARET,0.98,,0.75,
L'ILLA PERDUDA,0.85,,0.88,
BETERO,0.88,,0.84,
SANT ANTONI,0.85,,0.87,
SAFRANAR,1.0,,0.72,
CIUTAT FALLERA,0.98,,0.73,
LES CASES DE BARCENA,0.87,,0.83,
NOU MOLES,0.81,,0.88,
MARXALENES,0.83,,0.84,
BENIMAMET,0.85,,0.9,0.73
CIUTAT UNIVERSITARIA,0.99,,0.66,
LA VEGA BAIXA,0.75,,0.88,
RAFALELL-VISTABELLA,0.84,,0.9,0.7
VARA DE QUART,0.85,,0.77,
PENYA-ROJA,0.93,,0.69,
LA CARRASCA,0.82,0.96,0.65,
EL CARME,0.95,,0.88,0.57
CAMI FONDO,0.79,,0.8,
TRINITAT,0.88,,0.7,
EL SALER,0.82,,0.75,
MASSARROJOS,0.72,,0.84,
JAUME ROIG,0.78,,0.78,
EL MERCAT,0.93,0.5,0.89,
ARRANCAPINS,0.87,,0.84,0.61
EL PILAR,0.88,0.5,0.91,
CAMI DE VERA,0.76,,0.76,
BENIMACLET,0.87,,0.77,0.44
BORBOTO,0.81,,0.5,
