,1,2_to_5,6_to_20,21_to_many
Baró de Viver,3 (75.00%),1 (25.00%),0 (0.00%),0 (0.00%)
Can Baró,24 (77.42%),7 (22.58%),0 (0.00%),0 (0.00%)
Can Peguera,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Canyelles,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Ciutat Meridiana,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Diagonal Mar i el Front Marítim del Poblenou,71 (82.56%),11 (12.79%),4 (4.65%),0 (0.00%)
Horta,23 (95.83%),1 (4.17%),0 (0.00%),0 (0.00%)
Hostafrancs,95 (79.83%),17 (14.29%),7 (5.88%),0 (0.00%)
Montbau,7 (87.50%),1 (12.50%),0 (0.00%),0 (0.00%)
Navas,32 (80.00%),8 (20.00%),0 (0.00%),0 (0.00%)
Pedralbes,20 (74.07%),6 (22.22%),1 (3.70%),0 (0.00%)
Porta,22 (88.00%),3 (12.00%),0 (0.00%),0 (0.00%)
Provençals del Poblenou,51 (86.44%),8 (13.56%),0 (0.00%),0 (0.00%)
Sant Andreu,28 (68.29%),13 (31.71%),0 (0.00%),0 (0.00%)
Sant Antoni,316 (73.15%),93 (21.53%),22 (5.09%),1 (0.23%)
Sant Genís dels Agudells,7 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Sant Gervasi - Galvany,103 (69.13%),34 (22.82%),12 (8.05%),0 (0.00%)
Sant Gervasi - la Bonanova,34 (85.00%),6 (15.00%),0 (0.00%),0 (0.00%)
Sant Martí de Provençals,39 (81.25%),9 (18.75%),0 (0.00%),0 (0.00%)
"Sant Pere, Santa Caterina i la Ribera",380 (71.56%),132 (24.86%),17 (3.20%),2 (0.38%)
Sants,154 (80.63%),30 (15.71%),7 (3.66%),0 (0.00%)
Sants - Badal,156 (71.56%),51 (23.39%),11 (5.05%),0 (0.00%)
Sarrià,23 (74.19%),8 (25.81%),0 (0.00%),0 (0.00%)
Torre Baró,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
Vallbona,4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Vallcarca i els Penitents,52 (81.25%),12 (18.75%),0 (0.00%),0 (0.00%)
"Vallvidrera, el Tibidabo i les Planes",60 (85.71%),8 (11.43%),2 (2.86%),0 (0.00%)
Verdun,9 (90.00%),1 (10.00%),0 (0.00%),0 (0.00%)
Vilapicina i la Torre Llobeta,31 (81.58%),7 (18.42%),0 (0.00%),0 (0.00%)
el Baix Guinardó,82 (86.32%),13 (13.68%),0 (0.00%),0 (0.00%)
el Barri Gòtic,370 (68.90%),134 (24.95%),32 (5.96%),1 (0.19%)
el Besòs i el Maresme,149 (79.26%),35 (18.62%),3 (1.60%),1 (0.53%)
el Bon Pastor,68 (68.69%),30 (30.30%),1 (1.01%),0 (0.00%)
el Camp d'en Grassot i Gràcia Nova,166 (79.05%),39 (18.57%),5 (2.38%),0 (0.00%)
el Camp de l'Arpa del Clot,122 (74.39%),35 (21.34%),5 (3.05%),2 (1.22%)
el Carmel,36 (81.82%),7 (15.91%),1 (2.27%),0 (0.00%)
el Clot,62 (86.11%),9 (12.50%),1 (1.39%),0 (0.00%)
el Coll,11 (68.75%),5 (31.25%),0 (0.00%),0 (0.00%)
el Congrés i els Indians,17 (77.27%),5 (22.73%),0 (0.00%),0 (0.00%)
el Fort Pienc,208 (77.04%),54 (20.00%),7 (2.59%),1 (0.37%)
el Guinardó,80 (80.81%),19 (19.19%),0 (0.00%),0 (0.00%)
el Parc i la Llacuna del Poblenou,89 (76.07%),26 (22.22%),2 (1.71%),0 (0.00%)
el Poble Sec,361 (78.99%),80 (17.51%),14 (3.06%),2 (0.44%)
el Poblenou,217 (82.51%),41 (15.59%),5 (1.90%),0 (0.00%)
el Putxet i el Farró,77 (78.57%),14 (14.29%),7 (7.14%),0 (0.00%)
el Raval,488 (70.83%),168 (24.38%),32 (4.64%),1 (0.15%)
el Turó de la Peira,11 (73.33%),3 (20.00%),1 (6.67%),0 (0.00%)
l'Antiga Esquerra de l'Eixample,310 (72.43%),92 (21.50%),24 (5.61%),2 (0.47%)
la Barceloneta,148 (74.37%),43 (21.61%),7 (3.52%),1 (0.50%)
la Bordeta,84 (81.55%),14 (13.59%),5 (4.85%),0 (0.00%)
la Clota,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
la Dreta de l'Eixample,396 (56.09%),229 (32.44%),68 (9.63%),13 (1.84%)
la Font d'en Fargues,8 (88.89%),1 (11.11%),0 (0.00%),0 (0.00%)
la Font de la Guatlla,50 (83.33%),9 (15.00%),1 (1.67%),0 (0.00%)
la Guineueta,12 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
