,1,2_to_5,6_to_20,21_to_many
Agullana,5 (83.33%),1 (16.67%),0 (0.00%),0 (0.00%)
Aiguaviva,3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Albanyà,8 (88.89%),1 (11.11%),0 (0.00%),0 (0.00%)
Albons,9 (75.00%),2 (16.67%),1 (8.33%),0 (0.00%)
Alp,52 (80.00%),8 (12.31%),4 (6.15%),1 (1.54%)
Amer,8 (88.89%),1 (11.11%),0 (0.00%),0 (0.00%)
Anglès,6 (66.67%),3 (33.33%),0 (0.00%),0 (0.00%)
Arbúcies,15 (57.69%),10 (38.46%),1 (3.85%),0 (0.00%)
Argelaguer,6 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Avinyonet de Puigventós,0 (0.00%),3 (100.00%),0 (0.00%),0 (0.00%)
Banyoles,35 (76.09%),10 (21.74%),1 (2.17%),0 (0.00%)
Begur,300 (77.92%),65 (16.88%),14 (3.64%),6 (1.56%)
Bellcaire d'Empordà,16 (88.89%),2 (11.11%),0 (0.00%),0 (0.00%)
Besalú,13 (72.22%),4 (22.22%),1 (5.56%),0 (0.00%)
Bescanó,8 (72.73%),2 (18.18%),1 (9.09%),0 (0.00%)
Beuda,5 (62.50%),3 (37.50%),0 (0.00%),0 (0.00%)
Blanes,285 (80.06%),61 (17.13%),10 (2.81%),0 (0.00%)
Boadella d'Empordà,5 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Bolvir,19 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Bordils,7 (77.78%),2 (22.22%),0 (0.00%),0 (0.00%)
Borrassà,6 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Breda,2 (40.00%),3 (60.00%),0 (0.00%),0 (0.00%)
Brunyola,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
Bàscara,8 (88.89%),1 (11.11%),0 (0.00%),0 (0.00%)
Cabanelles,2 (50.00%),2 (50.00%),0 (0.00%),0 (0.00%)
Cabanes,4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Cadaqués,202 (77.99%),49 (18.92%),5 (1.93%),3 (1.16%)
Caldes de Malavella,33 (82.50%),6 (15.00%),1 (2.50%),0 (0.00%)
Calonge,294 (85.22%),39 (11.30%),10 (2.90%),2 (0.58%)
Campdevànol,5 (71.43%),2 (28.57%),0 (0.00%),0 (0.00%)
Campelles,3 (50.00%),3 (50.00%),0 (0.00%),0 (0.00%)
Camprodon,50 (83.33%),7 (11.67%),3 (5.00%),0 (0.00%)
Camós,2 (66.67%),0 (0.00%),1 (33.33%),0 (0.00%)
Canet d'Adri,2 (50.00%),2 (50.00%),0 (0.00%),0 (0.00%)
Cantallops,7 (70.00%),3 (30.00%),0 (0.00%),0 (0.00%)
Capmany,5 (62.50%),2 (25.00%),1 (12.50%),0 (0.00%)
Cassà de la Selva,10 (71.43%),4 (28.57%),0 (0.00%),0 (0.00%)
Castell-Platja d'Aro,484 (85.36%),65 (11.46%),13 (2.29%),5 (0.88%)
Castellfollit de la Roca,7 (87.50%),1 (12.50%),0 (0.00%),0 (0.00%)
Castelló d'Empúries,424 (79.85%),73 (13.75%),23 (4.33%),11 (2.07%)
Celrà,7 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Cervià de Ter,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Cistella,6 (85.71%),1 (14.29%),0 (0.00%),0 (0.00%)
Colera,19 (76.00%),6 (24.00%),0 (0.00%),0 (0.00%)
Colomers,4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Cornellà del Terri,11 (68.75%),4 (25.00%),1 (6.25%),0 (0.00%)
Corçà,20 (83.33%),4 (16.67%),0 (0.00%),0 (0.00%)
Crespià,5 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"Cruïlles, Monells i Sant Sadurní de l'Heura",28 (84.85%),5 (15.15%),0 (0.00%),0 (0.00%)
Darnius,0 (0.00%),2 (66.67%),1 (33.33%),0 (0.00%)
Das,10 (76.92%),3 (23.08%),0 (0.00%),0 (0.00%)
El Port de la Selva,79 (80.61%),15 (15.31%),3 (3.06%),1 (1.02%)
Espinelves,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
Espolla,5 (83.33%),1 (16.67%),0 (0.00%),0 (0.00%)
Esponellà,6 (85.71%),1 (14.29%),0 (0.00%),0 (0.00%)
Figueres,53 (71.62%),17 (22.97%),4 (5.41%),0 (0.00%)
Flaçà,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Foixà,5 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Fontanals de Cerdanya,18 (81.82%),4 (18.18%),0 (0.00%),0 (0.00%)
Fontanilles,4 (66.67%),1 (16.67%),1 (16.67%),0 (0.00%)
Fontcoberta,5 (71.43%),1 (14.29%),1 (14.29%),0 (0.00%)
Forallac,26 (74.29%),9 (25.71%),0 (0.00%),0 (0.00%)
Fornells de la Selva,1 (33.33%),2 (66.67%),0 (0.00%),0 (0.00%)
Fortià,1 (33.33%),1 (33.33%),1 (33.33%),0 (0.00%)
