,1,2_to_5,6_to_20,21_to_many
Abrantes,30 (93.75%),2 (6.25%),0 (0.00%),0 (0.00%)
Acacias,113 (85.61%),19 (14.39%),0 (0.00%),0 (0.00%)
Adelfas,26 (74.29%),7 (20.00%),1 (2.86%),1 (2.86%)
Aeropuerto,15 (83.33%),3 (16.67%),0 (0.00%),0 (0.00%)
Aguilas,33 (89.19%),4 (10.81%),0 (0.00%),0 (0.00%)
Alameda de Osuna,14 (60.87%),9 (39.13%),0 (0.00%),0 (0.00%)
Almagro,101 (78.29%),26 (20.16%),1 (0.78%),1 (0.78%)
Almenara,80 (88.89%),9 (10.00%),1 (1.11%),0 (0.00%)
Almendrales,38 (79.17%),8 (16.67%),2 (4.17%),0 (0.00%)
Aluche,59 (90.77%),6 (9.23%),0 (0.00%),0 (0.00%)
Ambroz,11 (84.62%),2 (15.38%),0 (0.00%),0 (0.00%)
Amposta,10 (90.91%),1 (9.09%),0 (0.00%),0 (0.00%)
Apostol Santiago,16 (88.89%),2 (11.11%),0 (0.00%),0 (0.00%)
Arapiles,117 (80.14%),26 (17.81%),3 (2.05%),0 (0.00%)
Aravaca,48 (80.00%),10 (16.67%),2 (3.33%),0 (0.00%)
Arcos,36 (83.72%),7 (16.28%),0 (0.00%),0 (0.00%)
Argüelles,158 (79.00%),37 (18.50%),3 (1.50%),2 (1.00%)
Atalaya,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Atocha,15 (93.75%),1 (6.25%),0 (0.00%),0 (0.00%)
Bellas Vistas,110 (90.16%),8 (6.56%),4 (3.28%),0 (0.00%)
Berruguete,68 (79.07%),17 (19.77%),1 (1.16%),0 (0.00%)
Buenavista,46 (79.31%),12 (20.69%),0 (0.00%),0 (0.00%)
Butarque,15 (93.75%),1 (6.25%),0 (0.00%),0 (0.00%)
Campamento,28 (80.00%),7 (20.00%),0 (0.00%),0 (0.00%)
Canillas,50 (76.92%),13 (20.00%),2 (3.08%),0 (0.00%)
Canillejas,57 (82.61%),12 (17.39%),0 (0.00%),0 (0.00%)
Casa de Campo,59 (78.67%),15 (20.00%),1 (1.33%),0 (0.00%)
Casco Histórico de Barajas,22 (81.48%),5 (18.52%),0 (0.00%),0 (0.00%)
Casco Histórico de Vallecas,61 (87.14%),9 (12.86%),0 (0.00%),0 (0.00%)
Casco Histórico de Vicálvaro,84 (84.00%),16 (16.00%),0 (0.00%),0 (0.00%)
Castellana,100 (81.97%),15 (12.30%),7 (5.74%),0 (0.00%)
Castilla,41 (82.00%),8 (16.00%),1 (2.00%),0 (0.00%)
Castillejos,93 (85.32%),12 (11.01%),4 (3.67%),0 (0.00%)
