,1,2_to_5,6_to_20,21_to_many
Bailen-Miraflores,84 (72.41%),31 (26.72%),1 (0.86%),0 (0.00%)
Campanillas,37 (77.08%),10 (20.83%),1 (2.08%),0 (0.00%)
Carretera de Cadiz,311 (79.13%),68 (17.30%),14 (3.56%),0 (0.00%)
Centro,1110 (66.31%),418 (24.97%),118 (7.05%),28 (1.67%)
Churriana,720 (80.90%),154 (17.30%),16 (1.80%),0 (0.00%)
Ciudad Jardin,36 (81.82%),7 (15.91%),1 (2.27%),0 (0.00%)
Cruz De Humilladero,148 (72.55%),48 (23.53%),4 (1.96%),4 (1.96%)
Este,413 (74.01%),128 (22.94%),16 (2.87%),1 (0.18%)
Palma-Palmilla,28 (82.35%),4 (11.76%),2 (5.88%),0 (0.00%)
Puerto de la Torre,23 (85.19%),4 (14.81%),0 (0.00%),0 (0.00%)
Teatinos-Universidad,61 (83.56%),11 (15.07%),1 (1.37%),0 (0.00%)
