,1,2_to_5,6_to_20,21_to_many
Alaró,71 (84.52%),10 (11.90%),3 (3.57%),0 (0.00%)
Alcúdia,358 (64.97%),125 (22.69%),51 (9.26%),17 (3.09%)
Algaida,57 (73.08%),19 (24.36%),2 (2.56%),0 (0.00%)
Andratx,90 (67.16%),35 (26.12%),9 (6.72%),0 (0.00%)
Ariany,20 (46.51%),16 (37.21%),7 (16.28%),0 (0.00%)
Artà,141 (69.80%),46 (22.77%),12 (5.94%),3 (1.49%)
Banyalbufar,36 (80.00%),9 (20.00%),0 (0.00%),0 (0.00%)
Binissalem,47 (68.12%),21 (30.43%),1 (1.45%),0 (0.00%)
Bunyola,56 (84.85%),10 (15.15%),0 (0.00%),0 (0.00%)
Búger,30 (46.88%),29 (45.31%),5 (7.81%),0 (0.00%)
Calvià,325 (79.85%),72 (17.69%),10 (2.46%),0 (0.00%)
Campanet,68 (70.10%),26 (26.80%),3 (3.09%),0 (0.00%)
Campos,175 (69.44%),55 (21.83%),19 (7.54%),3 (1.19%)
Capdepera,141 (63.51%),57 (25.68%),21 (9.46%),3 (1.35%)
Consell,19 (86.36%),3 (13.64%),0 (0.00%),0 (0.00%)
Costitx,27 (61.36%),13 (29.55%),4 (9.09%),0 (0.00%)
Deyá,35 (72.92%),11 (22.92%),2 (4.17%),0 (0.00%)
Escorca,19 (86.36%),3 (13.64%),0 (0.00%),0 (0.00%)
Esporles,31 (75.61%),9 (21.95%),1 (2.44%),0 (0.00%)
Estellencs,13 (92.86%),1 (7.14%),0 (0.00%),0 (0.00%)
Felanitx,204 (72.34%),51 (18.09%),20 (7.09%),7 (2.48%)
Fornalutx,50 (79.37%),11 (17.46%),2 (3.17%),0 (0.00%)
Inca,79 (60.77%),40 (30.77%),10 (7.69%),1 (0.77%)
Lloret de Vistalegre,34 (85.00%),5 (12.50%),1 (2.50%),0 (0.00%)
Lloseta,26 (68.42%),11 (28.95%),1 (2.63%),0 (0.00%)
Llubí,49 (72.06%),15 (22.06%),4 (5.88%),0 (0.00%)
Llucmajor,264 (74.79%),71 (20.11%),18 (5.10%),0 (0.00%)
Manacor,250 (70.22%),73 (20.51%),28 (7.87%),5 (1.40%)
Mancor de la Vall,24 (72.73%),7 (21.21%),2 (6.06%),0 (0.00%)
Maria de la Salut,29 (61.70%),17 (36.17%),1 (2.13%),0 (0.00%)
Marratxí,79 (79.00%),21 (21.00%),0 (0.00%),0 (0.00%)
Montuïri,27 (79.41%),5 (14.71%),2 (5.88%),0 (0.00%)
Muro,105 (67.31%),35 (22.44%),14 (8.97%),2 (1.28%)
Palma de Mallorca,849 (70.81%),308 (25.69%),40 (3.34%),2 (0.17%)
Petra,53 (67.95%),17 (21.79%),8 (10.26%),0 (0.00%)
Pollença,370 (64.35%),132 (22.96%),44 (7.65%),29 (5.04%)
Porreres,46 (76.67%),11 (18.33%),3 (5.00%),0 (0.00%)
Puigpunyent,33 (86.84%),4 (10.53%),1 (2.63%),0 (0.00%)
Sa Pobla,102 (68.46%),39 (26.17%),6 (4.03%),2 (1.34%)
Sant Joan,32 (86.49%),4 (10.81%),1 (2.70%),0 (0.00%)
Sant Llorenç des Cardassar,99 (67.81%),34 (23.29%),12 (8.22%),1 (0.68%)
Santa Eugènia,17 (85.00%),3 (15.00%),0 (0.00%),0 (0.00%)
Santa Margalida,181 (62.85%),77 (26.74%),26 (9.03%),4 (1.39%)
Santa María del Camí,32 (78.05%),8 (19.51%),1 (2.44%),0 (0.00%)
Santanyí,273 (69.29%),90 (22.84%),21 (5.33%),10 (2.54%)
Selva,83 (61.48%),39 (28.89%),12 (8.89%),1 (0.74%)
Sencelles,67 (77.01%),17 (19.54%),3 (3.45%),0 (0.00%)
Ses Salines,75 (67.57%),28 (25.23%),8 (7.21%),0 (0.00%)
Sineu,50 (70.42%),17 (23.94%),4 (5.63%),0 (0.00%)
Son Servera,82 (62.60%),37 (28.24%),10 (7.63%),2 (1.53%)
Sóller,190 (69.60%),65 (23.81%),17 (6.23%),1 (0.37%)
Valldemossa,55 (80.88%),11 (16.18%),2 (2.94%),0 (0.00%)
Vilafranc de Bonany,20 (71.43%),7 (25.00%),1 (3.57%),0 (0.00%)
