,1,2_to_5,6_to_20,21_to_many
Aeropuerto Viejo,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Alfalfa,258 (71.27%),87 (24.03%),16 (4.42%),1 (0.28%)
Amate,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
Arbol Gordo,4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Arenal,136 (60.44%),71 (31.56%),18 (8.00%),0 (0.00%)
Avda. de la Paz,3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Bami,7 (87.50%),1 (12.50%),0 (0.00%),0 (0.00%)
Barrio León,13 (81.25%),3 (18.75%),0 (0.00%),0 (0.00%)
Bda. Pino Montano,5 (71.43%),2 (28.57%),0 (0.00%),0 (0.00%)
Bda. de Pineda,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"Begoña, Santa Catalina",4 (80.00%),1 (20.00%),0 (0.00%),0 (0.00%)
Bellavista,25 (89.29%),3 (10.71%),0 (0.00%),0 (0.00%)
Campos de Soria,1 (50.00%),1 (50.00%),0 (0.00%),0 (0.00%)
"Carretera de Carmona, María Auxiliadora, Fontanal",13 (81.25%),3 (18.75%),0 (0.00%),0 (0.00%)
"Cisneo Alto, Santa María de Graccia",3 (75.00%),1 (25.00%),0 (0.00%),0 (0.00%)
Ciudad Jardín,8 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"Colores, Entreparques",18 (81.82%),4 (18.18%),0 (0.00%),0 (0.00%)
Consolación,3 (75.00%),1 (25.00%),0 (0.00%),0 (0.00%)
"Cruz Roja, Capuchinos",14 (87.50%),2 (12.50%),0 (0.00%),0 (0.00%)
"Doctor Barraquer, G. Renfe, Policlínico",31 (83.78%),6 (16.22%),0 (0.00%),0 (0.00%)
"El Cano, Los Bermejales",7 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
El Carmen,9 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
El Cerro,8 (66.67%),4 (33.33%),0 (0.00%),0 (0.00%)
El Gordillo,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"El Juncal, Híspalis",2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
El Plantinar,7 (87.50%),1 (12.50%),0 (0.00%),0 (0.00%)
El Porvenir,7 (70.00%),1 (10.00%),2 (20.00%),0 (0.00%)
El Rocío,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"El Tardón, El Carmen",28 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"El Torrejón, El Cerezo",2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
"Encarnación, Regina",136 (66.34%),57 (27.80%),12 (5.85%),0 (0.00%)
"Felipe II, Los Diez Mandamientos",5 (83.33%),1 (16.67%),0 (0.00%),0 (0.00%)
Feria,209 (72.32%),75 (25.95%),5 (1.73%),0 (0.00%)
Giralda Sur,5 (83.33%),1 (16.67%),0 (0.00%),0 (0.00%)
Heliópolis,6 (75.00%),2 (25.00%),0 (0.00%),0 (0.00%)
"Hermandades, La Carrasca",5 (71.43%),2 (28.57%),0 (0.00%),0 (0.00%)
Huerta de Santa Teresa,16 (84.21%),3 (15.79%),0 (0.00%),0 (0.00%)
Huerta de la Salud,10 (83.33%),2 (16.67%),0 (0.00%),0 (0.00%)
Huerta del Pilar,11 (91.67%),1 (8.33%),0 (0.00%),0 (0.00%)
Isla de Garza,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Juan XXIII,4 (66.67%),2 (33.33%),0 (0.00%),0 (0.00%)
La Bachillera,17 (85.00%),3 (15.00%),0 (0.00%),0 (0.00%)
La Barzola,3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
La Buhaira,27 (79.41%),6 (17.65%),1 (2.94%),0 (0.00%)
La Calzada,17 (89.47%),2 (10.53%),0 (0.00%),0 (0.00%)
La Corza,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
La Florida,32 (78.05%),8 (19.51%),1 (2.44%),0 (0.00%)
La Oliva,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
"La Palmilla, Doctor Marañón",3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"La Paz, Las Golondrinas",9 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Las Almenas,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Las Avenidas,6 (85.71%),1 (14.29%),0 (0.00%),0 (0.00%)
Las Huertas,6 (85.71%),1 (14.29%),0 (0.00%),0 (0.00%)
Las Letanías,0 (0.00%),1 (100.00%),0 (0.00%),0 (0.00%)
"Las Naciones, Parque Atlántico, Las Dalias",2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"León XIII, Los Naranjos",15 (83.33%),3 (16.67%),0 (0.00%),0 (0.00%)
Los Carteros,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Los Pajaros,3 (50.00%),3 (50.00%),0 (0.00%),0 (0.00%)
"Los Príncipes, La Fontanilla",1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Los Remedios,61 (79.22%),16 (20.78%),0 (0.00%),0 (0.00%)
Los arcos,1 (50.00%),1 (50.00%),0 (0.00%),0 (0.00%)
"Macarena 3 Huertas, Macarena 5",3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Museo,96 (70.07%),33 (24.09%),8 (5.84%),0 (0.00%)
Nervión,26 (81.25%),5 (15.62%),1 (3.12%),0 (0.00%)
"Palacio Congresos, Urbadiez, Entrepuentes, Jardines del Eden",6 (75.00%),2 (25.00%),0 (0.00%),0 (0.00%)
Palmete,4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Parque Alcosa,3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"Pedro Salvador, Las Palmeritas",3 (60.00%),2 (40.00%),0 (0.00%),0 (0.00%)
Pino Flores,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Pio XII,12 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Polígono Norte,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Polígono Sur,8 (80.00%),2 (20.00%),0 (0.00%),0 (0.00%)
"Prado, Parque María Luisa",5 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Retiro Obrero,7 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Rochelambert,6 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
San Bartolomé,159 (68.53%),59 (25.43%),11 (4.74%),3 (1.29%)
San Bernardo,37 (74.00%),11 (22.00%),2 (4.00%),0 (0.00%)
"San Carlos, Tartessos",1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
San Diego,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
San Gil,143 (82.18%),27 (15.52%),4 (2.30%),0 (0.00%)
San Jerónimo,6 (66.67%),3 (33.33%),0 (0.00%),0 (0.00%)
San José Obrero,30 (83.33%),6 (16.67%),0 (0.00%),0 (0.00%)
San Julián,92 (73.02%),32 (25.40%),2 (1.59%),0 (0.00%)
San Lorenzo,122 (74.85%),39 (23.93%),2 (1.23%),0 (0.00%)
San Pablo A y B,8 (88.89%),1 (11.11%),0 (0.00%),0 (0.00%)
San Pablo C,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
San Pablo D y E,6 (85.71%),1 (14.29%),0 (0.00%),0 (0.00%)
San Vicente,105 (70.95%),38 (25.68%),4 (2.70%),1 (0.68%)
"Santa Aurelia, Cantábrico, Atlántico, La Romería",2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Santa Catalina,108 (73.47%),34 (23.13%),5 (3.40%),0 (0.00%)
Santa Clara,6 (75.00%),2 (25.00%),0 (0.00%),0 (0.00%)
Santa Cruz,140 (59.57%),71 (30.21%),23 (9.79%),1 (0.43%)
"Santa María de Ordas, San Nicolas",5 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"Sector Sur, La Palmera, Reina Mercedes",9 (56.25%),5 (31.25%),2 (12.50%),0 (0.00%)
Tablada,39 (84.78%),6 (13.04%),1 (2.17%),0 (0.00%)
"Tabladilla, La Estrella",2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"Tiro de Línea, Santa Genoveva",7 (63.64%),4 (36.36%),0 (0.00%),0 (0.00%)
Triana Casco Antiguo,155 (73.81%),49 (23.33%),6 (2.86%),0 (0.00%)
Triana Este,109 (84.50%),19 (14.73%),1 (0.78%),0 (0.00%)
Triana Oeste,113 (83.70%),18 (13.33%),4 (2.96%),0 (0.00%)
Valdezorras,5 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Villegas,6 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Zodiaco,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
an Roque,37 (77.08%),11 (22.92%),0 (0.00%),0 (0.00%)
no asignado,9 (90.00%),1 (10.00%),0 (0.00%),0 (0.00%)
