,1,2_to_5,6_to_20,21_to_many
AIORA,116 (75.32%),31 (20.13%),6 (3.90%),1 (0.65%)
ALBORS,51 (86.44%),7 (11.86%),1 (1.69%),0 (0.00%)
ARRANCAPINS,104 (74.82%),33 (23.74%),2 (1.44%),0 (0.00%)
BENICALAP,44 (77.19%),10 (17.54%),2 (3.51%),1 (1.75%)
BENIFARAIG,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
BENIFERRI,9 (90.00%),0 (0.00%),1 (10.00%),0 (0.00%)
BENIMACLET,66 (83.54%),13 (16.46%),0 (0.00%),0 (0.00%)
BENIMAMET,64 (71.91%),23 (25.84%),2 (2.25%),0 (0.00%)
BETERO,27 (75.00%),8 (22.22%),1 (2.78%),0 (0.00%)
BORBOTO,8 (80.00%),2 (20.00%),0 (0.00%),0 (0.00%)
CABANYAL-CANYAMELAR,368 (76.51%),103 (21.41%),9 (1.87%),1 (0.21%)
CAMI DE VERA,10 (83.33%),2 (16.67%),0 (0.00%),0 (0.00%)
CAMI FONDO,25 (75.76%),8 (24.24%),0 (0.00%),0 (0.00%)
CAMI REAL,7 (87.50%),1 (12.50%),0 (0.00%),0 (0.00%)
CAMPANAR,10 (83.33%),2 (16.67%),0 (0.00%),0 (0.00%)
CARPESA,3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
CASTELLAR-L'OLIVERAL,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
CIUTAT DE LES ARTS I DE LES CIENCIES,33 (84.62%),5 (12.82%),1 (2.56%),0 (0.00%)
CIUTAT FALLERA,6 (75.00%),2 (25.00%),0 (0.00%),0 (0.00%)
CIUTAT JARDI,44 (70.97%),18 (29.03%),0 (0.00%),0 (0.00%)
CIUTAT UNIVERSITARIA,4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
EL BOTANIC,80 (84.21%),14 (14.74%),1 (1.05%),0 (0.00%)
EL CALVARI,10 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
EL CARME,154 (81.48%),29 (15.34%),6 (3.17%),0 (0.00%)
